artistName,trackName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,release_date,genres
David Bowie,Sorrow - Remastered,0.659,0.537,0.0,-12.016,1.0,0.0704,0.315,7.55e-06,0.217,0.681,119.513,audio_features,3KbyH6Y1nKltK8p2NNRtpJ,spotify:track:3KbyH6Y1nKltK8p2NNRtpJ,https://api.spotify.com/v1/tracks/3KbyH6Y1nKltK8p2NNRtpJ,https://api.spotify.com/v1/audio-analysis/3KbyH6Y1nKltK8p2NNRtpJ,175120.0,4.0,2016-11-11,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'rock']"
Mount Kimbie,You Look Certain (I’m Not So Sure) - WXAXRXP Session,0.454,0.662,11.0,-8.809,0.0,0.0295,0.0499,0.474,0.413,0.591,141.512,audio_features,691HbefeRbA751TYr9PCGJ,spotify:track:691HbefeRbA751TYr9PCGJ,https://api.spotify.com/v1/tracks/691HbefeRbA751TYr9PCGJ,https://api.spotify.com/v1/audio-analysis/691HbefeRbA751TYr9PCGJ,334980.0,4.0,2019-10-09,"['art pop', 'bass music', 'chillwave', 'electra', 'electronica', 'future garage', 'indie soul', 'indietronica', 'microhouse', 'new rave', 'wonky']"
The Frightnrs,Nothing More to Say,0.891,0.445,9.0,-9.853,0.0,0.0558,0.328,0.000426,0.242,0.885,105.674,audio_features,3sj5y0QFI7D2hMoQXyTyFs,spotify:track:3sj5y0QFI7D2hMoQXyTyFs,https://api.spotify.com/v1/tracks/3sj5y0QFI7D2hMoQXyTyFs,https://api.spotify.com/v1/audio-analysis/3sj5y0QFI7D2hMoQXyTyFs,251720.0,4.0,2016-09-02,"['dub', 'reggae', 'rock steady', 'ska']"
FKA twigs,sad day,0.434,0.469,0.0,-10.685,0.0,0.165,0.809,0.000215,0.0856,0.143,136.745,audio_features,4KfgBq7SrmjavjQS4ZQGHC,spotify:track:4KfgBq7SrmjavjQS4ZQGHC,https://api.spotify.com/v1/tracks/4KfgBq7SrmjavjQS4ZQGHC,https://api.spotify.com/v1/audio-analysis/4KfgBq7SrmjavjQS4ZQGHC,255720.0,4.0,2019-11-08,"['afrofuturism', 'art pop', 'dance pop', 'electropop', 'escape room', 'indie r&b', 'pop', 'trip hop']"
The Shangri-Las,Give Him A Great Big Kiss,0.685,0.652,7.0,-9.697,1.0,0.228,0.539,0.000296,0.109,0.617,83.588,audio_features,2wnxEa5Tovp6rB0fuUqTRn,spotify:track:2wnxEa5Tovp6rB0fuUqTRn,https://api.spotify.com/v1/tracks/2wnxEa5Tovp6rB0fuUqTRn,https://api.spotify.com/v1/audio-analysis/2wnxEa5Tovp6rB0fuUqTRn,133093.0,4.0,1998-01-01,"['brill building pop', 'classic girl group']"
Oliver Huntemann,Tranquilizer,0.622,0.545,9.0,-9.828,1.0,0.0447,0.0122,0.933,0.119,0.211,127.006,audio_features,74ErPSzxOFm2aVJFvLPovB,spotify:track:74ErPSzxOFm2aVJFvLPovB,https://api.spotify.com/v1/tracks/74ErPSzxOFm2aVJFvLPovB,https://api.spotify.com/v1/audio-analysis/74ErPSzxOFm2aVJFvLPovB,438867.0,4.0,2011-11-02,"['dark techno', 'german techno', 'hamburg electronic', 'microhouse', 'minimal techno', 'tech house']"
Chiiild,Pirouette,0.741,0.598,5.0,-7.496,0.0,0.0271,0.146,0.116,0.321,0.629,91.99,audio_features,5BfvUt5ztFuAyhWjgWzjr1,spotify:track:5BfvUt5ztFuAyhWjgWzjr1,https://api.spotify.com/v1/tracks/5BfvUt5ztFuAyhWjgWzjr1,https://api.spotify.com/v1/audio-analysis/5BfvUt5ztFuAyhWjgWzjr1,177227.0,4.0,2020-02-28,['alternative r&b']
The Litter,Action Woman,0.32,0.76,0.0,-4.447,1.0,0.0384,0.0979,1.02e-05,0.171,0.502,134.099,audio_features,1f2iytT4krAsbokqIv1JVO,spotify:track:1f2iytT4krAsbokqIv1JVO,https://api.spotify.com/v1/tracks/1f2iytT4krAsbokqIv1JVO,https://api.spotify.com/v1/audio-analysis/1f2iytT4krAsbokqIv1JVO,154480.0,4.0,1967-01-01,"['classic garage rock', 'classic psychedelic rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
The White Stripes,Seven Nation Army,0.737,0.463,0.0,-7.828,1.0,0.0792,0.00817,0.447,0.255,0.324,123.881,audio_features,7i6r9KotUPQg3ozKKgEPIN,spotify:track:7i6r9KotUPQg3ozKKgEPIN,https://api.spotify.com/v1/tracks/7i6r9KotUPQg3ozKKgEPIN,https://api.spotify.com/v1/audio-analysis/7i6r9KotUPQg3ozKKgEPIN,231733.0,4.0,2003-04-01,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
LGP QUA,INSOMNIAC (woke),0.551,0.845,4.0,-5.366,0.0,0.34,0.171,1.41e-05,0.289,0.324,100.05,audio_features,2KBJfljvBUqcQlfCu4bxxE,spotify:track:2KBJfljvBUqcQlfCu4bxxE,https://api.spotify.com/v1/tracks/2KBJfljvBUqcQlfCu4bxxE,https://api.spotify.com/v1/audio-analysis/2KBJfljvBUqcQlfCu4bxxE,160800.0,4.0,2018-03-03,['philly rap']
